StudentID;Name;Mail;Password;GuardianID;Gender;SchoolID
1;Aluno1;emailaluno1@gmail.com;ᚫꛘ♕睯奤艝;1;F;1
2;Aluno2;emailaluno2@gmail.com;ᚫꛘ♕睯奤艝;2;F;1
3;Aluno3;emailaluno3@gmail.com;ᚫꛘ♕睯奤艝;3;F;1
4;Aluno4;emailaluno4@gmail.com;ᚫꛘ♕睯奤艝;4;F;1
5;Aluno5;emailaluno5@gmail.com;ᚫꛘ♕睯奤艝;5;F;1
6;Aluno6;emailaluno6@gmail.com;ᚫꛘ♕睯奤艝;6;M;1
7;Aluno7;emailaluno7@gmail.com;ᚫꛘ♕睯奤艝;7;M;1
8;Aluno8;emailaluno8@gmail.com;ᚫꛘ♕睯奤艝;8;F;1
9;Aluno9;emailaluno9@gmail.com;ᚫꛘ♕睯奤艝;9;M;1
10;Aluno10;emailaluno10@gmail.com;ᚫꛘ♕睯奤艝;10;M;1
11;Aluno11;emailaluno11@gmail.com;ᚫꛘ♕睯奤艝;11;F;1
12;Aluno12;emailaluno12@gmail.com;ᚫꛘ♕睯奤艝;12;F;1
13;Aluno13;emailaluno13@gmail.com;ᚫꛘ♕睯奤艝;13;M;1
14;Aluno14;emailaluno14@gmail.com;ᚫꛘ♕睯奤艝;14;M;1
15;Aluno15;emailaluno15@gmail.com;ᚫꛘ♕睯奤艝;15;M;1
16;Aluno16;emailaluno16@gmail.com;ᚫꛘ♕睯奤艝;16;F;1
17;Aluno17;emailaluno17@gmail.com;ᚫꛘ♕睯奤艝;17;F;1
18;Aluno18;emailaluno18@gmail.com;ᚫꛘ♕睯奤艝;18;F;1
19;Aluno19;emailaluno19@gmail.com;ᚫꛘ♕睯奤艝;19;M;1
20;Aluno20;emailaluno20@gmail.com;ᚫꛘ♕睯奤艝;20;M;1
21;Aluno21;emailaluno21@gmail.com;ᚫꛘ♕睯奤艝;21;M;1
22;Aluno22;emailaluno22@gmail.com;ᚫꛘ♕睯奤艝;22;M;1
23;Aluno23;emailaluno23@gmail.com;ᚫꛘ♕睯奤艝;23;M;1
24;Aluno24;emailaluno24@gmail.com;ᚫꛘ♕睯奤艝;24;M;1
25;Aluno25;emailaluno25@gmail.com;ᚫꛘ♕睯奤艝;25;F;1
26;Aluno26;emailaluno26@gmail.com;ᚫꛘ♕睯奤艝;26;F;1
27;Aluno27;emailaluno27@gmail.com;ᚫꛘ♕睯奤艝;27;M;1
